iter	RMSE
148	122.3053452
149	121.9196653
150	121.6440367
151	121.3423028
152	120.9635464
153	120.4775558
154	120.3950272
155	120.0221078
156	119.7348098
157	119.5142828
158	119.2622753
159	119.1014444
160	118.5574736
161	118.0322266
162	117.7942692
163	117.5255037
164	117.2261864
165	116.6394222
166	116.3268271
167	116.011441
168	115.7013303
169	115.5272376
170	115.3068304
171	115.083447
172	114.5434941
173	114.2580085
174	113.833479
175	113.6446465
176	112.9836132
177	112.7301858
178	112.5685269
179	112.1150879
180	111.8132582
181	111.1563578
182	110.8778181
183	110.5109315
184	110.2687141
185	109.9631058
186	109.6161559
187	109.3560416
188	108.9926306
189	108.7415477
190	108.5015772
191	108.2721094
192	107.9695122
193	107.7532546
194	107.5591679
195	107.0880183
196	106.7171708
197	106.5437443
198	106.3779186
199	106.0803231
200	105.879755
201	105.6573636
202	105.4046856
203	105.0552777
204	104.8433043
205	104.5962032
206	104.3815408
207	104.1543797
208	103.9488213
209	103.8169591
210	103.5441302
211	103.0584882
212	102.9062352
213	102.7458959
214	102.6951033
215	102.404122
216	102.0890283
217	101.9269475
218	101.7578367
219	101.5839199
220	101.3751818
221	101.2876992
222	101.0825966
223	100.9617374
224	100.573004
225	100.4573773
226	100.2322388
227	100.0481267
228	99.94060774
229	99.69025596
230	99.59900727
231	99.37378842
232	99.09404961
233	98.87633905
234	98.80177679
235	98.58355858
236	98.48631873
237	98.39125416
238	98.12512252
239	97.99247185
240	97.63092515
241	97.53391752
242	97.34408241
243	97.20945723
244	97.10570177
245	96.92975613
246	96.81225476
247	96.77640702
248	96.70825522
249	96.40547292
250	96.34323258
251	96.13716054
252	95.90962832
253	95.82261741
254	95.69037604
255	95.52669766
256	95.49705187
257	95.40729538
258	95.3844698
259	95.24732551
260	95.08760199
261	94.92902984
262	94.90074266
263	94.78486566
264	94.51676963
265	94.40912279
266	94.34432515
267	94.15263747
268	93.88111049
269	93.79717375
270	93.5413409
271	93.44527131
272	93.41945446
273	93.2549025
274	93.11371439
275	93.03734094
276	92.96961955
277	92.75239388
278	92.60735451
279	92.43788483
280	92.37869315
281	92.20017915
282	92.14236796
283	92.1151939
284	91.88784865
285	91.76148319
286	91.59200226
287	91.38935815
288	91.20512464
289	91.04109069
290	90.88356925
291	90.79354187
292	90.66166585
293	90.54461481
294	90.52553743
295	90.41106786
296	90.3469173
297	90.22708448
298	90.13576887
299	90.07781199
300	89.93663731
301	89.80328743
302	89.61244336
303	89.46131564
304	89.26335449
305	89.12753158
306	89.0152898
307	88.88451676
308	88.76381743
309	88.68903083
310	88.59359302
311	88.53637508
312	88.45094314
313	88.40093124
314	88.35067604
315	88.32843458
316	88.28461645
317	88.15985622
318	88.03432476
319	87.85681199
320	87.68163978
321	87.53630963
322	87.41573148
323	87.36472614
324	87.26590938
325	87.1006501
326	86.94514328
327	86.85944981
328	86.81385932
329	86.74418286
330	86.60588638
331	86.48365037
332	86.3504596
333	86.25032388
334	86.23596567
335	86.21675177
336	86.17688098
337	86.11296295
338	85.95990834
339	85.94155352
340	85.7932964
341	85.75187723
342	85.63574406
343	85.49822267
344	85.40080679
345	85.38069379
346	85.2544932
347	85.15581312
348	85.11729599
349	85.04619456
350	85.02867572
351	85.00250218
352	84.89112604
353	84.74750612
354	84.70225795
355	84.68348916
356	84.65346519
357	84.56799333
358	84.46496424
359	84.35128114
360	84.25477813
361	84.24340964
362	84.19266799
363	84.09297222
364	83.99088534
365	83.91826177
366	83.78663434
367	83.68237134
368	83.65244369
369	83.55883373
370	83.54789769
371	83.46592223
372	83.37025932
373	83.32383437
374	83.25516989
375	83.17183378
376	83.15743142
377	83.04468678
378	82.94890193
379	82.86619256
380	82.78663279
381	82.70831354
382	82.69357074
383	82.60040586
384	82.58822064
385	82.5305163
386	82.44664411
387	82.43433429
388	82.32325859
389	82.29117511
390	82.27880638
391	82.16958629
392	82.12767008
393	82.02857129
394	81.95737538
395	81.87889073
396	81.85542171
397	81.78270104
398	81.6997116
399	81.67083257
400	81.57166271
401	81.48757349
402	81.4263206
403	81.32896295
404	81.22021251
405	81.16749466
406	81.10051632
407	81.00070154
408	80.97355307
409	80.92005855
410	80.8387396
411	80.82645466
412	80.80129516
413	80.74515045
414	80.68364825
415	80.6083444
416	80.5912116
417	80.52546723
418	80.43517599
419	80.37931357
420	80.30317261
421	80.28554082
422	80.2160832
423	80.16416402
424	80.09240238
425	80.01757494
426	79.97866918
427	79.95543766
428	79.9004548
429	79.79996556
430	79.73475902
431	79.69811214
432	79.60804058
433	79.53845002
434	79.47730251
435	79.43109302
436	79.37057213
437	79.35786456
438	79.30307527
439	79.26782288
440	79.202524
441	79.14746285
442	79.10572166
443	79.02557782
444	78.97613967
445	78.96457332
446	78.90977848
447	78.83744628
448	78.80437496
449	78.7244935
450	78.6538195
451	78.62017062
452	78.56878209
453	78.4735923
454	78.42144565
455	78.3937341
456	78.32313339
457	78.27279487
458	78.20003347
459	78.15502307
460	78.14460386
461	78.08908258
462	78.02638355
463	77.94328554
464	77.88619364
465	77.80586259
466	77.79921852
467	77.75482677
468	77.7433329
469	77.72980734
470	77.66445855
471	77.64525311
472	77.56665362
473	77.51080998
474	77.45041161
475	77.42129819
476	77.39158426
477	77.33940524
478	77.29486483
479	77.24625635
480	77.2087417
481	77.17990818
482	77.10876312
483	77.06088337
484	77.03387182
485	76.97157855
486	76.96214568
487	76.9118612
488	76.88404831
489	76.84257415
490	76.79006332
491	76.74776853
492	76.68182994
493	76.65576013
494	76.60183739
495	76.59351562
496	76.53172776
497	76.47388186
498	76.44453469
499	76.43740634
500	76.39477037
501	76.33753121
502	76.28104871
503	76.26475805
504	76.18507213
505	76.14589709
506	76.09069322
507	76.03777262
508	76.0019887
509	75.95340448
510	75.90475462
511	75.8813211
512	75.86603225
513	75.80833989
514	75.76606426
515	75.75541022
516	75.70060079
517	75.68157264
518	75.66917605
519	75.63567145
520	75.60040922
521	75.5655456
522	75.56056816
523	75.55292161
524	75.50386431
525	75.45955977
526	75.42279281
527	75.36475657
528	75.32672878
529	75.29448441
530	75.2366672
531	75.19258718
532	75.14869242
533	75.0912797
534	75.04385079
535	75.00008471
536	74.95890981
537	74.93112896
538	74.89484954
539	74.84786719
540	74.82438822
541	74.81530217
542	74.79124303
543	74.73972967
544	74.69016621
545	74.66628958
546	74.65691341
547	74.60685745
548	74.57101475
549	74.53807585
550	74.51210177
551	74.50365178
552	74.4677004
553	74.44318246
554	74.42578107
555	74.38471954
556	74.33661901
557	74.29622124
558	74.25145833
559	74.21270628
560	74.15831946
561	74.1375403
562	74.10956383
563	74.07658915
564	74.05720514
565	74.04675848
566	74.00452032
567	73.99790377
568	73.96816186
569	73.93369579
570	73.88827085
571	73.84114622
572	73.8240319
573	73.80339068
574	73.77896612
575	73.75981557
576	73.71075622
577	73.65813513
578	73.65081131
579	73.63470753
580	73.61764474
581	73.57693833
582	73.54436552
583	73.50793534
584	73.47179683
585	73.43249316
586	73.41321386
587	73.36830447
588	73.35052763
589	73.317013
590	73.30987287
591	73.28096103
592	73.24910964
593	73.21609792
594	73.17970313
595	73.16363608
596	73.15415237
597	73.14506951
598	73.10337237
599	73.07489788
600	73.06732548
601	73.06227403
602	73.02503914
603	72.99122471
604	72.9713574
605	72.93563735
606	72.91963642
607	72.91125503
608	72.90126555
609	72.87225181
610	72.86117662
611	72.84649913
612	72.82603289
613	72.78219977
614	72.75389798
615	72.74706422
616	72.70571081
617	72.67296978
618	72.64706947
619	72.61052785
620	72.583294
621	72.55435335
622	72.50316452
623	72.48864562
624	72.462127
625	72.41931655
626	72.41304068
627	72.38528789
628	72.3599395
629	72.33627205
630	72.33092272
631	72.30611743
632	72.28364024
633	72.27719602
634	72.26121334
635	72.24651475
636	72.2311561
637	72.20402986
638	72.16510306
639	72.14321089
640	72.11210422
641	72.08518702
642	72.0550982
643	72.02635106
644	72.00039706
645	71.99185868
646	71.96320945
647	71.91683708
648	71.88581571
649	71.8528032
650	71.81950109
651	71.79894666
652	71.75806368
653	71.72630071
654	71.68983151
655	71.67590849
656	71.66983413
657	71.64572179
658	71.61464491
659	71.59197395
660	71.57270937
661	71.56685897
662	71.54476382
663	71.52980643
664	71.5038939
665	71.48657184
666	71.47457583
667	71.45453476
668	71.44587346
669	71.42196426
670	71.40496459
671	71.37269367
672	71.33639032
673	71.33196436
674	71.30408173
675	71.28342624
676	71.28042247
677	71.24527256
678	71.21547086
679	71.19209904
680	71.17478717
681	71.16764862
682	71.15144213
683	71.11444213
684	71.10188098
685	71.08358338
686	71.05813285
687	71.02986804
688	70.99493356
689	70.97585647
690	70.94631917
691	70.94355199
692	70.92466813
693	70.90318717
694	70.88883504
695	70.85720211
696	70.82786175
697	70.79039159
698	70.7625605
699	70.73857189
700	70.71469976
701	70.70632624
702	70.67251359
703	70.65510017
704	70.64940921
705	70.62524097
706	70.62292262
707	70.60334595
708	70.59507679
709	70.58592754
710	70.57226383
711	70.56091949
712	70.5339431
713	70.51108019
714	70.49049027
715	70.46249071
716	70.44452975
717	70.43839682
718	70.42575943
719	70.40929028
720	70.38608085
721	70.38039483
722	70.36967183
723	70.36582304
724	70.3628898
725	70.35297123
726	70.32691921
727	70.31622492
728	70.30110452
729	70.28951693
730	70.28564137
731	70.26419388
732	70.25836825
733	70.23093024
734	70.22236252
735	70.21488199
736	70.18979042
737	70.18174279
738	70.17726263
739	70.16029455
740	70.14503533
741	70.13077759
742	70.12608155
743	70.10716351
744	70.08760297
745	70.07132877
746	70.06500313
747	70.04877656
748	70.03543668
749	70.01432895
750	69.99810956
751	69.97307703
752	69.96156933
753	69.94406763
754	69.91894647
755	69.89796325
756	69.88750188
757	69.87536811
758	69.87194589
759	69.86884208
760	69.86183222
761	69.85251108
762	69.84900928
763	69.82025311
764	69.79589678
765	69.78674694
766	69.7810947
767	69.75695056
768	69.72920719
769	69.72396846
770	69.70378991
771	69.68883796
772	69.67657184
773	69.67189577
774	69.65475247
775	69.62320705
776	69.61154812
777	69.60371797
778	69.58294328
779	69.57948019
780	69.57567102
781	69.57022771
782	69.55531546
783	69.54478433
784	69.53649452
785	69.50773756
786	69.48581706
787	69.46722579
788	69.46566078
789	69.44645803
790	69.42350237
791	69.41967221
792	69.40960097
793	69.40097906
794	69.37721813
795	69.36889064
796	69.34591666
797	69.32943634
798	69.31807299
799	69.31153396
800	69.3073839
801	69.30382539
802	69.28411223
803	69.2682492
804	69.26209772
805	69.25627646
806	69.24304408
807	69.21953299
808	69.20530656
809	69.18957936
810	69.16889739
811	69.16742923
812	69.1397017
813	69.13020527
814	69.10824143
815	69.09952553
816	69.09479103
817	69.08109835
818	69.07869695
819	69.05755019
820	69.03835714
821	69.02270422
822	69.01588721
823	69.00116479
824	68.99053581
825	68.98125316
826	68.97913549
827	68.9773077
828	68.97494632
829	68.96634811
830	68.94967072
831	68.93981729
832	68.93247872
833	68.9161215
834	68.90282235
835	68.88500965
836	68.88052136
837	68.87721586
838	68.87035472
839	68.85682496
840	68.84925418
841	68.83919691
842	68.82482136
843	68.82360352
844	68.81721091
845	68.80945438
846	68.78676341
847	68.78061883
848	68.76158331
849	68.74268857
850	68.73877414
851	68.7364677
852	68.73509431
853	68.72987278
854	68.72183684
855	68.71474656
856	68.69608116
857	68.69066715
858	68.67268737
859	68.65433103
860	68.63555046
861	68.62074036
862	68.60683943
863	68.59433291
864	68.59245616
865	68.58278761
866	68.56599156
867	68.55102206
868	68.53050954
869	68.50899407
870	68.49186888
871	68.48045026
872	68.47731876
873	68.47103559
874	68.4634324
875	68.45922497
876	68.45508078
877	68.43861222
878	68.42741681
879	68.41197888
880	68.40521674
881	68.39010171
882	68.38894064
883	68.37194892
884	68.35840648
885	68.34753465
886	68.33711542
887	68.32264519
888	68.30769516
889	68.29434024
890	68.28638325
891	68.27563742
892	68.26464367
893	68.25441097
894	68.24310673
895	68.23812794
896	68.23496642
897	68.2224049
898	68.21307809
899	68.20747969
900	68.20029568
901	68.19883717
902	68.19454903
903	68.18830914
904	68.16965455
905	68.15515557
906	68.14489679
907	68.14184951
908	68.13164131
909	68.1165381
910	68.10711609
911	68.10591647
912	68.09314718
913	68.08963776
914	68.08408495
915	68.07404014
916	68.0536421
917	68.04132295
918	68.03112967
919	68.02074167
920	68.00954198
921	67.99942871
922	67.99756487
923	67.97918503
924	67.97521311
925	67.96273743
926	67.95688198
927	67.94394138
928	67.94117282
929	67.93650459
930	67.92934624
931	67.92258347
932	67.92152754
933	67.91509854
934	67.90312199
935	67.88707316
936	67.87697514
937	67.87060691
938	67.86950229
939	67.84928324
940	67.84010141
941	67.82782363
942	67.80890974
943	67.80619521
944	67.80034342
945	67.78633905
946	67.78325259
947	67.77937349
948	67.76754651
949	67.75670717
950	67.75030894
951	67.73688188
952	67.7322297
953	67.73086311
954	67.7283444
955	67.71853264
956	67.70782398
957	67.70525066
958	67.70440348
959	67.68744923
960	67.68247408
961	67.66246064
962	67.6469827
963	67.63714428
964	67.62607337
965	67.61924391
966	67.60604559
967	67.59593596
968	67.59473308
969	67.59016046
970	67.57532106
971	67.56693947
972	67.55559195
973	67.53835439
974	67.53465505
975	67.52650657
976	67.52492259
977	67.50928497
978	67.5018271
979	67.4954353
980	67.48976323
981	67.4873969
982	67.47214492
983	67.461988
984	67.45976769
985	67.45457101
986	67.45045118
987	67.44906083
988	67.44307865
989	67.44185984
990	67.43345222
991	67.4222244
992	67.41445075
993	67.40923261
994	67.39628313
995	67.38242984
996	67.37236151
997	67.35758971
998	67.35610032
